제작자,차명,생산기간(from),생산기간(to),리콜개시일,리콜사유
비엠더블유코리아(주),BMW X6 xDrive30d,2014-07-14,2015-06-16,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X6 xDrive40d,2014-12-07,2015-06-14,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 520d Touring,2012-10-01,2013-05-03,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X1 xDrive25d,2012-09-17,2012-09-17,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X3 xDrive30d,2011-04-01,2015-04-27,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X3 xDrive35d,2012-01-18,2013-02-21,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X3 xDrive20d,2014-04-16,2016-11-04,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 525d xDrive,2012-03-14,2012-03-14,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 525d,2012-07-02,2013-02-05,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 535d,2011-08-31,2013-03-27,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 525d xDrive Touring,2012-03-12,2013-04-22,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW Gran Turismo 20d,2012-06-29,2013-06-26,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW Gran Turismo 30d xDrive,2012-07-03,2013-06-27,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW Gran Turismo 30d,2012-06-29,2013-04-26,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X4 xDrive20d,2014-05-27,2016-09-13,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X4 xDrive30d,2014-04-08,2015-05-27,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 740d xDrive,2012-07-06,2015-03-27,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 730d,2012-07-03,2013-03-26,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 730d xDrive,2013-02-28,2015-03-10,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 740d,2012-11-19,2013-03-18,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 730Ld,2012-07-02,2015-01-27,2019-05-31,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
기아자동차(주),스포티지(QL),2019-05-09,2019-05-10,2019-06-10,타이로드엔드 부품에 링와셔를 정상적으로 조립 했는지를 검사하는 검사장비가 고장이 발생하여 정상 조립 여부를 알 수 없음
르노삼성자동차(주),르노 마스터(Van),2018-07-25,2019-04-03,2019-06-27,자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제57조에 따라 의무적으로 소화기를 설치해야 하나 해당 차량에 소화기가 비치되지 않음.
스바루코리아(주),포레스터,2009-06-04,2012-06-28,2019-06-17,"앞 승객석 에어백 제작업체인 TAKATA사의 제조 공정사으이 문제로 인하여 고온, 다습 및 고온순환에 장기간 노출될 경우 에어백 전개시 인프레이터의 구조물의 파열 가능성"
스바루코리아(주),레거시,2009-04-08,2012-08-23,2019-06-17,"앞 승객석 에어백 제작업체인 TAKATA사의 제조 공정사으이 문제로 인하여 고온, 다습 및 고온순환에 장기간 노출될 경우 에어백 전개시 인프레이터의 구조물의 파열 가능성"
스바루코리아(주),아웃백,2009-05-12,2012-08-23,2019-06-17,"앞 승객석 에어백 제작업체인 TAKATA사의 제조 공정사으이 문제로 인하여 고온, 다습 및 고온순환에 장기간 노출될 경우 에어백 전개시 인프레이터의 구조물의 파열 가능성"
비엠더블유코리아(주),BMW 120d,2013-03-09,2013-11-26,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 220d Coupe,2014-01-03,2014-05-05,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 220d Coupe,2015-01-15,2015-01-15,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 320d,2013-03-07,2015-04-24,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 320d,2015-07-06,2016-07-28,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 320d EfficientDynamics Edition,2011-11-11,2015-03-30,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 320d EfficientDynamics Edition,2015-07-09,2016-07-28,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 320d Gran Turismo,2013-03-26,2015-04-13,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 320d Gran Turismo,2016-07-14,2016-07-21,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 320d Gran Turismo,2015-07-02,2016-06-02,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 320d Touring,2013-11-18,2015-02-23,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
